id,brand,inbound_text,reply_text,intent,safety_flag,auto_or_escalate,reason,reference_reply
528797,British_Airways,@British_Airways the new “I am not a robot” security on your mobile app is truly obnoxious. Please get rid of it or I will delete the app entirely!,"@232745 We're sorry you're unhappy with it, David. We'll pass your comments on. ^Paul",,,,,
2936895,British_Airways,@British_Airways I have 3 family members stuck in Lagos airport from your canceled flight 0074 with no information on how they will get to Toronto.,"@811883 Hi there, we're sorry to hear about the delay to their flight. Due to the Data Protection Act within the UK, we're unable to discuss or make any changes to their booking with you. We would recommend they contact us via Twitter or speak to a member of staff at the airport. ^Cody",,,,,
1613912,British_Airways,.@135993 @British_Airways don’t issue joint card if you can’t manage basic Avios transfer. And can’t solve after transfers between u all day,"@495092 We're sorry if you're having issues, Maxim. I'm afraid we're unable to assist from this side, 1/2",,,,,
1156958,British_Airways,@British_Airways hi. I'm trying to provide my API information for a flight to the USA next week and am having a few issues.,"@392165 Sorry for the late reply. If you have a valid ESTA, this will be recognised when your passport is entered in our system. 1/2",,,,,
988541,British_Airways,Anyone know how long it takes to change out a punctured tire on an A330? @British_Airways  #FridayThe13th,@354214 Sorry about the delay last night. We appreciate it's frustrating and hope it didn't cause too much inconvenience. ^Anthony,,,,,
343357,British_Airways,Technical problem with @British_Airways 887 tonight. Captain came out to explain. Great communication. Even held nervous passengers hand. 👏 https://t.co/aI4wcwVMsR,"@197741 We couldn't agree more, Nik. Communication makes all the difference. We hope you had a pleasant flight despite the delay. ^Steph",,,,,
578599,British_Airways,@British_Airways seriously the worst. Traveling from London to Nice with approved airline carry on which fit nicely into the bag check at the airport and they still wanted me to check my bag. I’m an emeral status holder too. On board lots of bags much larger than mine.  Not happy,"@256220 We can appreciate this must be disappointing, Samantha. Unfortunately, if there aren't enough volunteers, our colleagues at the airport will need to ask people at random. Please accept our apologies for any inconvenience caused. We hope that despite this experience, 1/2",,,,,
408043,British_Airways,Wow what a day! Thanks to these fabulous ladies for joining me at the IAG Diversity event for @british_airways. Wh… https://t.co/hT96aSn3E1 https://t.co/9piZojogBV,"@191551 Hi Kate, thanks for sharing! It's always great to support a fantastic cause. Glad to hear today was a success! ^L",,,,,
2677516,British_Airways,"@British_Airways Hi, I can't seem to get through on the Executive Club phone number, please could you DM me about my account? Thanks!","@753538 Hi Helen, we're following you now. How can we help? ^Linda",,,,,
2528181,British_Airways,"Fab 7 days in Vegas with @84186, but now it time for the @British_Airways flight home, with an unexpected upgrade to Club  World",@551233 Oh no! How will you cope! Have a very pleasant flight and we'll see you in London. ^Hel,,,,,
2679205,British_Airways,@British_Airways No inflight entertainment 8hr flight! Unsatisfactory comp offerd! Insulting compared 2price paid 4flight as #BAavoismember,"@355111 I'm sorry to hear your entertainment wasn't working, Anjani. Do you have a Customer Relations case reference? If so, can you DM this to us along with your full name, email address and telephone number so that we can review your case? ^Linds",,,,,
150269,British_Airways,Look at the size of this @British_Airways plane from GLA to LHR - gotta love a 767! #FridayCommuter https://t.co/Z6BT3DoQhw,"@150270 It looks like you've hit lucky today, Chris! We hope you enjoy your flight. ^Charlotte",,,,,
1853417,British_Airways,@British_Airways how do I get an actual receipt for my flight that shows per ticket costs?  Booking only shows the taxes and total.,"@554606 Hi Elyssa, you can get a receipt by using the following link https://t.co/zIOw817MVn. ^JR",,,,,
1664979,British_Airways,#TeamNigeria @358871 hitting the ground running; powered by @British_Airways Big ups #KolaOlayinka #SeyiAdegokeAdeyemo etc; more bounce! https://t.co/iESpaczErM,"@507351 That’s a great photo Tunde, we hope you all enjoy your flight. ^Kieran",,,,,
942975,British_Airways,"So after a cancelled @British_Airways flight I’m now waiting for a delayed flight, brilliant waste of a Saturday morning","@330492 Hi James, we're sorry to have let you down on more than one occasion today. Let us know if you require any assistance. ^L",,,,,
908262,British_Airways,Hi @British_Airways Are there problems with yr phone lines? Been calling no. on website to change booking for 24 hrs and line is going dead.,"@335689 Hi Francesca, we can certainly help you change your flight. Please DM your full name, booking reference, email address, postal address, and",,,,,
513903,British_Airways,Quite excited. First flight on #b787 from @119137 to @22148 on @British_Airways #ba460 and hallo #nats ... https://t.co/dkbNB5lp5H,"@238297 Great photo Phil. We hope you've had a good flight, thanks for sharing. ^Kit",,,,,
1380399,British_Airways,@British_Airways just had to virtually beg staff 4 towels in IAD lounge and got this. Photo dark cause half lights not working #notSoPremium https://t.co/GWMUA23j1f,"@441324 We're sorry to hear that, Jennifer. We've passed your comments to the lounge managers. Please accept our apologies for the 1/2",,,,,
2768855,British_Airways,"@British_Airways Paid for my seat, only to be moved on the day due to a ""wet seat"". Told I wouldn't have a problem getting a refund. However, 3-4 weeks later and still not had a reply to my correspondence! Not impressed yet again! :-(","@774174 Did you apply for the refund online, Tony? It can take up to 28 days. ^Gill",,,,,
2885888,British_Airways,@British_Airways I have been shortpaid on my price promise refund on the 15th November by £42.91. I emailed the price promise team at the time but it still hasn’t been sorted?? Can you help please?? I believe I’m not the only person who has been short paid either,"@800416 We're sorry you've not been given the correct amount on our Best Price Guarantee, Marnie. I'm afraid we can't help with your query. Please continue to liaise with our Best Price Guarantee team. ^Steph",,,,,
859902,British_Airways,#bamagic @British_Airways  - still awaiting you to address travelers affected by #HurricaneOphelia https://t.co/1gA7Tz3PsE,"@324163 Hi Jono, have you contacted our Customer Relations team? ^Alex C",,,,,
457480,British_Airways,@British_Airways just paid for an upgrade on a flight and it tells me there has been an error. Someone help please,"@223621 Let us take a look at your booking, Chirag. Could you DM us your booking ref, email and contact number please? We'll then check your booking and make sure the upgrade has gone through. Many thanks. ^Lisa",,,,,
1158407,British_Airways,@British_Airways Hi I've booked a single flight London to Madrid in November with Avios + small money fee (£17.50?). Can I cancel it and,"@392498 We can certainly take a look at your request, Anthony. Can you DM us your booking reference, full address and phone number? ^DaniH",,,,,
476432,British_Airways,"@British_Airways Social Media are excellent, very fast response and a very happy customer!","@139455 Thanks, Jon! We're here 24/7 if you need anything else. ^Cecilia",,,,,
141728,British_Airways,@british_airways please pass on my thanks to Ira in your team at Munich. More than happy to discuss details via DM.,"@147971 We'd be more than happy to pass this on, Craig. We're also following you now if you'd like to give any more information. ^Charlotte",,,,,
2401617,British_Airways,"@British_Airways the saga continues, round trip to lax and can’t get 4 seats for the family together at online check in, great start of hday","@290000 Hi Janski, we're sorry about this. If you've checked in for your flight you'll need to speak 1/2",,,,,
1645721,British_Airways,What a pleasant surprise! Coffee @British_Airways was best I’ve had this week https://t.co/Gnh1VtGx0Z,@502877 I think a decent coffee makes a big difference when you're travelling doesn't it? I'm glad you enjoyed yours. ^Linds,,,,,
1081235,British_Airways,Hey @British_Airways - you still have not fixed your API problem that I flagged a week or so ago. You’d better get your acts together.,@162050 We're working on a fix as soon as possible. Do you need us to add your information for you? ^Anthony,,,,,
2713140,British_Airways,@British_Airways how can I claim missing bonus Avios for a BA Holidays booking? The missing Avios forms don't list BA Holidays as an option. https://t.co/udYGpXcG1b,"@341945 Hi Chris, bonus Avios can take up to 60 days to credit to your account. If it's outside this time, please DM your ref, full name, Exec number, email, full address and date of birth (for data protection) and we'll be happy to pass your query to our Exec Servicing team. ^Beth S.",,,,,
610717,British_Airways,"@British_Airways the Crew on the upper deck of the BA116 on the 21st Nov were SO great, I didn't want to get off the aircraft! 🙈 #FlyBA","@265208 That's great to hear, Berecca. We're pleased they made you feel so welcome. ^Lynn",,,,,
245025,British_Airways,Truly atrocious service from @British_Airways landed with 65 minutes to spare but delays after landing meant connection missed,"@174177 Hi Paul, jetty or stairs needs to be available before we can disembark. We hope you've managed to rebook your onward flight. ^Linda",,,,,
239026,British_Airways,"@British_Airways my flight from Las Vegas was cancelled 6th August, I still haven't received compensation and cant get through on phone?!",@172831 Hi did you fill in an online form for compensation? You would've received a case reference after completing it. ^Raj,,,,,
2174603,British_Airways,@British_Airways on the phone for 20 minutes already - been overcharged for upgrade. Why are you making it so hard to do business with you?,"@635472 We're sorry for the delayed reply. If you haven't managed to speak to our Change Booking team yet DM us your reference, full name 1/2",,,,,
1084713,British_Airways,"@British_Airways was supposed to be on a flight on Friday, but couldn’t make it, do I need to let you know I won’t be on the return flight?","@375878 Hi Kate, DM us your booking ref, email address and contact number. We'll cancel your return flight and check if there are any 1/2",,,,,
1225615,British_Airways,@British_Airways My flight got cancelled and I cannot contact you via phone. Can you do support via Twitter?,"@407542 Hi Wouter, if you DM your full name, booking reference, email and contact number, we'll be happy to take a look. ^BS",,,,,
1328222,British_Airways,Hey @British_Airways great job on the new lounge at @125872 really nice and direct access to the gate from the lounge! 10 out of 10! 😊,"@281988 Thanks for your great comments, Tony. We're pleased you liked it. ^Claire",,,,,
1222905,British_Airways,@British_Airways I have some miles about to expire. can I purchase Avios to extend the life of my miles?,@406965 You may purchase Avios. Spending or earning Avios is enough to keep the account balance open. ^Julie,,,,,
1801859,British_Airways,@British_Airways wonder if 3 shredded wheat would help staff smile/welcome clients a little better? Very miserable staff at terminal 3 today,@541399 This isn't good to hear at all. I'll make sure this is fed back for you. I hope you still manage to enjoy travelling with us today. ^Lisa,,,,,
709680,British_Airways,@British_Airways when I try to log into my manage my booking is keeps error problem with this application,"@289681 Hi Keith, sorry to hear you’re having problems with our website. Our IT team are currently working to rectify 1/2",,,,,
536835,British_Airways,@British_Airways my flight dec10 conf# OA9XH8 how many bags I’m allowed to take ??,"@244414 Hi there, you'll be able to check in 1 bag, weighing up to 23kg.  I hope this helps. ^Rach",,,,,
582906,British_Airways,"@British_Airways 
Really disappointed we aren't guaranteed a basinette for r baby whilst on a 7+ hr flight despite trying2book r seats 6weeks b4.hoping someone in BA will wave their magic wand + make r trip 1 to look forward to, not 1 to dread. Exec club let down 4 under 1's.","@257457 We can appreciate this is disappointing, Colleen. We'd recommend checking the seat map online, in case anyone makes any changes or cancels their booking. Our colleagues at the airport will also do all they can to assist, 1/2",,,,,
1866700,British_Airways,"Hey @British_Airways - buying a ticket through your app - ended up with two, and presumably charged twice - how to refund one?","@557669 Hi, Martin. Let us look into this for you. Please could you DM us your full itinerary with dates of travel? We'll also need your email, 1/2",,,,,
1454111,British_Airways,@British_Airways now clocks are back 1hr does flight ba247 arrive 6.15am local time?,"@457463 Hi Claire, all of the times shown on the website have been updated. You can check the latest flight",,,,,
427745,British_Airways,"@British_Airways how long is your claim queue? Been waiting 3 weeks already, not a peep. Phone line leads to a dead end.","@216719 Sorry for the delay, Ben, we will look to respond in full ASAP ^Al.",,,,,
77070,British_Airways,@British_Airways Hi anyway to #upgrade my flight to Hong Kong tomorrow as just done my back playing tennis :( Any options? #painful #too-old,"@133174 Hi there, if you can DM us your full name, booking reference, email address and home address (inc postcode) we can look into this for you. ^Cody",,,,,
2117558,British_Airways,".@British_Airways out of courtesy, sent this complaint letter to you privately. No response despite repeated assurances so sharing here now. Look forward to your response https://t.co/yOY0nLWpsq","@438718 Hi Priya, our Customer Relations team work on cases in date order they were received. Someone will be in touch with you directly as soon 1/2",,,,,
1129514,British_Airways,"@British_Airways BA2157 to Anu club world 22nd Oct, very disappointing service.. not up to usual standards:(",@386221 We're disappointed to hear that. We'll certainly pass it onto our Customer Experience team. Thanks for letting us know.^LW,,,,,
2631111,British_Airways,"@British_Airways hey BA, just had worst flight in 25 years flying you! FREEZING all the way on flight BA0176! 4 layers + blanket: still chilled.  And yet again: no allergy-safe food labeling. Admittedly, LHR to EDI was fine.","@203184 Hi Sue. The cabin temperature is set across the whole cabin, so the crew can adjust it if you ask. Can you elaborate a bit more about the food please? ^Natalie",,,,,
1842918,British_Airways,"@British_Airways  I can't seem to use Household Avios on the web site. Everything looks in order, so what's up?","@552240 Hi Dave, can you DM your Executive Club number, your date of birth, email address and postal address, so we can look at this for you?  ^MD",,,,,
250872,British_Airways,@British_Airways you just took my £32 ph charger battery. Dont mind the security but I do mind not being briefed BEFORE travel. Compensate!,"@175628 We're sorry to hear about your charger, it's the passengers responsibility to check which items can be carried on board. ^Kit",,,,,
2073734,British_Airways,@British_Airways another flight another delay.  The only thing they can offer is a heartfelt apology. Nkt! #whybotherwithBA,"@148995 Hi Tony, we understand it can be frustrating when a flight is delayed. Please be assured we do all we can to avoid disrupting our passengers' travel plans. ^Lacey",,,,,
2688997,British_Airways,@British_Airways service has gone from best in class to bottom of the barrel. Paid £300 to upgrade @103465 on our honeymoon flight back from Cape Town &amp; now plane is smaller &amp; overbooked so we are now in back. Appalling service esp bc I have to claim £ back myself!!,"@756044 We’re sorry for the inconvenience caused Aimee, we’ll pass on your comments as feedback. ^Kieran",,,,,
1489246,British_Airways,"@British_Airways I'm flying out in two weeks today BA2037 and I haven't been able to prebook a seat for ages, yet I know other people have. Why is this?","@465899 Hi Lilly, you should be able to prebook your seats online. If you need help with this, please DM your booking ref, email and home add. ^Lind",,,,,
1884790,British_Airways,@British_Airways whats the situation with your bed bugs on a recent flight? is this on every flight?,"@479745 Hi Chantelle, we operate more than 280,000 flights and reports of bed bugs are extremely rare. We'll continue to monitor our aircraft. ^Raj",,,,,
2380716,British_Airways,"@British_Airways Ive changed credit cards since i booked a flight, and the email said i need to bring the card i booked the flight with to check in. I dont have the card anymore, will this be a problem? thank you","@686442 Hi there.  This shouldn't been an issue.  As long as the new card is in your name, because it is just for an added security check.  You should be fine. ^N",,,,,
1182555,British_Airways,"Hi @British_Airways have you made any decisions about BA1335, 16.30 NCL-LHR tomorrow?","@398094 Hi Alison, BA1335 is operating as planned tomorrow. ^Jane",,,,,
1965474,British_Airways,Why do @British_Airways charge £7 to book a seat?! It's completely bizarre! ✈,"@273024 Hi Aimee, this is the same with most airlines and helps to get your first choice.  You can book free of charge when online check-in opens.",,,,,
279272,British_Airways,@British_Airways Mobile check-in not working for flight BA0256 tomorrow at 10.20. Tried many times. How can I change my pre-allocated seat?,"@182598 I’m sorry online check in isn’t working for you, Chris. Can you send a screen shot of the error message you’re getting? ^DR",,,,,
73148,British_Airways,@British_Airways trying to get to aberdeen airport flights at 9:20 😩,"@132353 We hope you made it, Amy! Let us know if you didn’t and if you need some help with your booking.^Corry",,,,,
2607575,British_Airways,"@British_Airways thank you very much for helping me solve my comp card  issue promptly. Prompt, detailed and Excellent response.  Well done BA.....Ladi","@737636 I've passed on your thanks to Ash, Ladi. We're here 24/7 if you need us again. ^Gill",,,,,
383159,British_Airways,@british_airways Thank you to Mr Ron at Club Europe checking today... you we a real hero. Delightful!,"@206786 Thanks for the fantastic feedback, Daniel.  I'll pass this on to our team at the airport.  Enjoy your trip!  ^Marie",,,,,
2417189,British_Airways,@British_Airways well done to that woman on the Cyprus BA-LHR flight tonight for making a stand against the disruptive pack of swimmers 1/3,@694649 I’m sorry you had some disruptive passengers on board your flight. I hope it didn’t cause too many problems. ^Davina,,,,,
1460109,British_Airways,"Flying with @British_Airways on their Boeing 767. Fantastic trip, and loved the onboard @marksandspencer service https://t.co/MXwtiNsG8L","@121914 Thanks for your Tweet, Casey. I'm pleased to hear you enjoyed the flight and the catering too. ^Kev",,,,,
1956653,British_Airways,@British_Airways Confusion down a Gate 24b T3 gate is open but no one there to process passengers! Then we were told to leg it to gate 3A!,"@580650 We're sorry to hear this, Tristan. Can you let us know the flight number and we'll see if we can get any further info? ^JulieR",,,,,
2651514,British_Airways,Curious how @British_Airways is the only airline in the world to ignore the Air Carrier Act. Never booking with them again 😒,"@747828 What's happened, Kianna? Can you send us some info by DM? ^Linds",,,,,
781883,British_Airways,Well this wasn't meant to happen...unscheduled diversion to #Athens en route to @16147. Great comms from @British_Airways tho.,"@306663 Thanks for your positive comments, Nicky. We hope you're comfortable in Athens and will be soon on your way. ^Julie",,,,,
2116200,British_Airways,@British_Airways is there a problem with your online check-in process&gt; I can't seem to check in. Thanks!,"@623805 Hi John, we haven't had any problems reported. Can you send us a screenshot of the error message you're getting? ^Kelly",,,,,
2117551,British_Airways,"Man with a spanner needed to make our @British_Airways plane ""serviceable"". Now we've lost our place in the take-off queue","@349875 Hi Chris, I'm sorry to hear this. I hope the delay wasn't too long . ^Tom",,,,,
722100,British_Airways,@British_Airways flying Dubrovnik to London tomorrow morning and we have an e-ticket receipt. Do we still print boarding passes? Confused!,"@292871 Yes, you'll still need a boarding pass. You can retrieve this when you complete check-in. 1/2",,,,,
2931531,British_Airways,"@British_Airways, I am trying to fill out the form for my 7 hour flight compensation from Rio/London flight BA0248 ref WGWRBG 17th Nov.","@803577 Hi Justine. We’re sorry your flight from Rio was disrupted. Our Customer Relations work on cases in order of date received. You'll get a response soon. For your own security, we recommend you remove your personal details from your public feed. ^Liz",,,,,
1672388,British_Airways,"@British_Airways ‘BA’ = Budget Airways. Scruffy planes, no food in economy, economy food in business, business lounges awful. Won’t be back.","@509002 Sorry to hear about your poor experience, Jennifer. Which flight and date were you travelling. ^Gill",,,,,
702280,British_Airways,"@British_Airways why Can I not bag drop? Why can we not go to the lounge, why is there no spare middle seat in business? Seville to London 8.05","@284213 Hi Oli, San Pablo airport doesn't have a great deal of facilities. We don't have a lounge and there isn't a bag drop there unfortunately. I'm afraid the only people able to assist with seating at this stage will be the airport staff. ^Kimbers",,,,,
1206558,British_Airways,@British_Airways will you be starting the MAN-LCY route again? It's great for access to the city #please,"@403346 Not at the moment, Lewis. We'll certainly pass on your wishes to our Revenue Management team. ^Gill",,,,,
2746854,British_Airways,"Looks like somebody needs to meditate at @British_Airways and rethink this policy. 
Wake up guys!! Bad idea. 
What's next? extending it to food and in-flight entertainment? https://t.co/k5SxRKsV6M","@769180 Actually, this is just a clearer, simpler way to conduct boarding in the way we always have. Premium cabins and our frequent flyers board first. ^Hel",,,,,
1469901,British_Airways,@British_Airways Hi! I'm having troubles booking my flight - your website won't load part 4 - payment. What should I do?,"@461164 We're not experiencing any problems with our website, Sophie. Have you tried deleting your temporary internet files or using a different device? ^Natalie",,,,,
1508216,British_Airways,"Work booked me @British_Airways to South Africa BA0055, Gutted last 3 flights I have had poor service, expect more of the same. #sad","@470060 Hi Hugo, we're sorry you've received poor service on your last 3 flights with us. We hope you have a much better experience this time, 1/2",,,,,
369335,British_Airways,Don’t ever fly @British_Airways - awful  rude service on our “business class” honeymoon flight and now given paltry £50 compensation!,"@203503 Sorry you're unhappy with our response, Sarah. I hope we can welcome you on board again and restore your faith in our airline. ^Rach",,,,,
139735,British_Airways,Well done @British_Airways for a mildly amusing safety briefing and all in aid of @117823 and Flying Start #stillsmiling #yousmashedit,@147520 We're pleased you enjoyed our new safety video and it looks like you enjoyed your flight too! We hope to be welcoming you back on board soon. ^Charlotte,,,,,
1202256,British_Airways,Whenever I’m running a little short of time this sight becomes even more welcoming @British_Airways @119137! https://t.co/BrRrdrZCgB,"@120348 I hope you were on time for your flight, John! ^Davina",,,,,
1208837,British_Airways,"@British_Airways booking system down ? I’ve tried on both iOS app and PC to book flights this morning, both times system failed.","@403808 We’re not aware of any issues, Gareth. Could you send a screen shot of any error message? 1/2",,,,,
1371491,British_Airways,@British_Airways but no update on my refund 6 months later? Why?,"@300164 Please be assured we're doing all we can to resolve this, Marcia. ^Jane",,,,,
1170522,British_Airways,"A @British_Airways 747 graces us with her presence this afternoon, here to pick up the amazing @2683 kids after their Orlando holiday https://t.co/cDUKUApO82",,,,,,
1577977,British_Airways,@British_Airways why am I getting this message when I try to check in to my flight home from Dubrovnik? https://t.co/2K8xh5BY96,"@486002 Apologies for our late reply, Kathryn. Dubrovnik airport does not offer online check in. You will need to check in at the airport. ^Linda",,,,,
1004812,British_Airways,"@British_Airways your cabin crew on BA1386 were great today. They were very helpful with an elderly lady, how I’d want my Nan to be treated","@357823 We're glad to hear it, Laura! ^P",,,,,
684555,British_Airways,"@British_Airways What would be really useful on your website IMO would be a Flight Finder, similar to your current Holiday Finder tool. Could you also add the ability to filter on flight times in the Holiday Finder?","@283384 We often look at ways of improving our website. Thanks for your comments, Mark. We'll feed them back. ^Paul",,,,,
1285897,British_Airways,@British_Airways how do I change a passenger surname on a future flight?,"@420781 Hi there, if this a name error or a change of name due to marriage then please DM us your booking reference, full name, address and 1/2",,,,,
161536,British_Airways,"@British_Airways 'I'm afraid the other items in your claim have been denied, as we're unable to cover electrical items, jewellery' even though u destroyed them in transit. I will be £500 out of pocket-to fly, to serve, to destroy you're belongings and not let you buy replacements","@153290 Hi Maria, we're sorry to hear this.  Only certain items are covered under the Conditions of carriage.  You can, however,  try to claim from your insurance.  ^Jools",,,,,
316762,British_Airways,Great day today at heathrow_airport for @british_airways . We will be back again tomorrow bright… https://t.co/dJndO96PI3,@191634 We're pleased it was a great day. We hope you have a lot of customers coming to see you today. ^Sarah,,,,,
2709007,British_Airways,"@British_Airways booked a fight for another person, can I get Avios?","@760732 I'm afraid not, Lorenzo. Only the person travelling can earn Avios and Tier Points. ^Beth S.",,,,,
1358519,British_Airways,No fastlane for @British_Airways Gold members flying economy at Brussels Airport ? :-(,@436726 Hi Stef.  We apologise for the lack of fast Track in Brussels.  We understand your disappointment as a Gold executive Club member. (1/2),,,,,
2697007,British_Airways,@British_Airways really disappointed with your customer service not sitting a family of 5 together . 2yr old. 5yr old. 7.yr old,"@757845 This is concerning to hear, Samantha. Could you DM us your full name, booking reference, email address and home address along with some more info about your recent experience. Once we have this info we can look into this for you. ^Cody",,,,,
227269,British_Airways,@British_Airways my flight tomorrow is cancelled but I have a connecting flight to get. I can’t get through on the phone. Can you help?,"@170218 Hi Lynne, we're sorry for the late response in getting back to you. If you can DM us your full name, booking 1/2",,,,,
527042,British_Airways,".@British_Airways I’ve just been subjected to the most appalling and unprofessional treatment that has resulted in me missing my flight, and now the representative is refusing to come and speak to me. Please can you help?","@241983 We're concerned to hear this, Leila. Can you DM your booking reference, email and postal address from the reservation, along with a contact number so we can help? ^Teresa",,,,,
464915,British_Airways,Really can't believe how badly @British_Airways  treat even elite pax. What a total disgrace. I actually felt like staff hated me from the get go. Do I really want to continue as Gold?,"@225574 That's not good, Gordon! What happened? If there's anything we can help with, please DM the details with your ref, email and contact number via the link below. ^Beth S. https://t.co/L1epyfzysM",,,,,
111064,British_Airways,"#LAX New route for me and new-ish on @British_Airways #B787 great views of the Grand Canyon, Las Vegas 🎰 and sprawling Los Angeles, including the Hollywood sign 🎬 #pilotview #socialpilots https://t.co/6V5kHIf06z",@138224 You have one of the best jobs in the world. Great view. ^Julie,,,,,
2771557,British_Airways,. @British_Airways is the flight LCA- LHR considered short haul flight?,@332871 It's short haul. ^Gill,,,,,
705329,British_Airways,"@British_Airways shocking food, poor entertainment and to top it off no buggy when we got off. NOT HAPPY!","@288608 We're sincerely sorry to hear this, Natalie. Have you got your buggy? ^Paul",,,,,
1481465,British_Airways,@British_Airways hi BA. I bought a ticket for a friend using my debit card. Does she need to have a photocopy of the card when traveling?,"@463984 Hi Ali. She'll not need a copy of the card. Just give her your details, address and name will do. Hope this helps. ^Kev",,,,,
2109422,British_Airways,@British_Airways my mum (Marie Hancock) is travelling to Houston from London Heathrow BA 195 on her 60th birthday (8th November)  any chance of an upgrade for her BA?,"@622312 We wish we could David, but we'd make all of the other Mums jealous. It's sweet of you to ask for her, though! ^Kimbers",,,,,
2493426,British_Airways,@British_Airways have Rob Brydon in their safety video. It's great.,"@711783 We're glad you like it, Rebecca! ^Rach",,,,,
1041989,British_Airways,"@British_Airways Hey guys, is there any reason as to why for 6 weeks now, I've been unable me to upgrade to executive &amp; claim Avios?? https://t.co/OY2aVKlXA4","@307010 Hi, are you receiving a specific error when trying to access your Executive Club account? It can help to clear your",,,,,
1827818,British_Airways,"Yay, leaving early, arriving late. Great start to the morning @British_Airways https://t.co/7zYZAtv0q9","@189714 Oh no! We hope you at least enjoy the extra time with us, Sam. ^Lolly",,,,,
